id,name,url,time,genre,release_time,intro,directors,writers,stars
4012,Punchline (1988) ,"https://m.media-amazon.com/images/M/MV5BNGEwMzFmOWQtMzcyMS00MDYxLTlhZTYtMWI5OWU3ZmU1Mzc0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",2h 8min,Comedy|Drama|Romance,7 October 1988 (USA),A medical school dropout and a housewife/mom try to make it as stand-up comedians. They become friends and help each other out at an NYC comedy club.,David Seltzer,,Sally Field|Tom Hanks|John Goodman
4014,Chocolat (2000) ,"https://m.media-amazon.com/images/M/MV5BYWYwMjMxZWQtMzQ3OS00YWNhLThkNDItYTk4NDdhZDE4ZTEzXkEyXkFqcGdeQXVyODU5MDg5OTY@._V1_UX182_CR0,0,182,268_AL_.jpg",2h 1min,Drama|Romance,19 January 2001 (USA),A woman and her daughter open a chocolate shop in a small French village that shakes up the rigid morality of the community.,Lasse Hallström,Joanne Harris,Juliette Binoche|Judi Dench|Alfred Molina
4015,"Dude, Where's My Car? (2000) ","https://m.media-amazon.com/images/M/MV5BNzRmN2NjNzktOWE1My00NjVlLWFhNjYtZmFkMzM5YTA2ZTFlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",1h 23min,Comedy|Mystery|Sci-Fi,15 December 2000 (USA),Two potheads wake up after a night of partying and cannot remember where they parked their car.,Danny Leiner,,Ashton Kutcher|Seann William Scott|Jennifer Garner
4016,The Emperor's New Groove (2000) ,"https://m.media-amazon.com/images/M/MV5BZGQwNmFhNjctNzQ0Yy00ZmE5LWIyMTEtYTZhZWQ4OTFmNDI2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTMxMjgxMzA@._V1_UX182_CR0,0,182,268_AL_.jpg",1h 18min,Animation|Adventure|Comedy,15 December 2000 (China),"Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder.",Mark Dindal,Chris Williams|Mark Dindal,David Spade|John Goodman|Eartha Kitt
4017,Pollock (2000) ,"https://m.media-amazon.com/images/M/MV5BZDU0NjJkNGQtOGY0ZS00MTEyLTk4NDEtODA5MTc4NGY1NjZkXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX182_CR0,0,182,268_AL_.jpg",2h 2min,Biography|Drama,23 March 2001 (USA),"A film about the life and career of the American painter, Jackson Pollock.",Ed Harris,Steven Naifeh|Gregory White Smith,Ed Harris|Marcia Gay Harden|Robert Knott
4018,What Women Want (2000) ,"https://m.media-amazon.com/images/M/MV5BZjUyZWE5YmMtNDA2ZC00NzFlLTg0MzktOTgzYjA2ZWE3NmIwXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UY268_CR4,0,182,268_AL_.jpg",2h 7min,Comedy|Fantasy|Romance,15 December 2000 (USA),"After an accident, a chauvinistic executive gains the ability to hear what women are really thinking.",Nancy Meyers,Josh Goldsmith|Cathy Yuspa,Mel Gibson|Helen Hunt|Marisa Tomei
4019,Finding Forrester (2000) ,"https://m.media-amazon.com/images/M/MV5BMTk5MjQ4MjcyOF5BMl5BanBnXkFtZTYwNTMzODg2._V1_UX182_CR0,0,182,268_AL_.jpg",2h 16min,Drama,12 January 2001 (USA),A young writing prodigy finds a mentor in a reclusive author.,Gus Van Sant,,Sean Connery|Rob Brown|F. Murray Abraham
4020,The Gift (2000) ,"https://m.media-amazon.com/images/M/MV5BNTUzMDY3ZDAtY2RiNC00ZGM4LWJjNmMtNWU0MGVjOWVkNjcwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",1h 52min,Drama|Fantasy|Horror,19 January 2001 (USA),A woman with extrasensory perception is asked to help find a young woman who has disappeared.,Sam Raimi,Billy Bob Thornton,Cate Blanchett|Katie Holmes|Keanu Reeves
4021,Before Night Falls (2000) ,"https://m.media-amazon.com/images/M/MV5BMjE2MzIzMDI5OF5BMl5BanBnXkFtZTcwODYzMzMzMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",2h 13min,Biography|Drama|Romance,23 February 2001 (USA),"The life of Cuban poet and novelist, Reinaldo Arenas.",Julian Schnabel,Cunningham O'Keefe|Lázaro Gómez Carriles,Javier Bardem|Johnny Depp|Olatz López Garmendia
4022,Cast Away (2000) ,"https://m.media-amazon.com/images/M/MV5BN2Y5ZTU4YjctMDRmMC00MTg4LWE1M2MtMjk4MzVmOTE4YjkzXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_UX182_CR0,0,182,268_AL_.jpg",2h 23min,Adventure|Drama|Romance,22 December 2000 (USA),A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,Robert Zemeckis,,Tom Hanks|Helen Hunt|Paul Sanchez
4023,The Family Man (2000) ,"https://m.media-amazon.com/images/M/MV5BYzYzMTQ4NDYtNWRkZi00NTYxLThlZDItMzI1MmU1MmU5ZWQ3XkEyXkFqcGdeQXVyNDA5Mjg5MjA@._V1_UY268_CR5,0,182,268_AL_.jpg",2h 5min,Comedy|Drama|Fantasy,22 December 2000 (USA),"A fast-lane investment broker, offered the opportunity to see how the other half lives, wakes up to find that his sports car and girlfriend have become a mini-van and wife.",Brett Ratner,David Diamond,Nicolas Cage|Téa Leoni|Don Cheadle
4024,The House of Mirth (2000) ,"https://m.media-amazon.com/images/M/MV5BZDljMWUzYWEtZjk0Yi00NjcxLTk5NmItYjBiOGVmZWJiYjMyXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UY268_CR3,0,182,268_AL_.jpg",2h 15min,Romance|Drama,13 October 2000 (UK),A woman risks losing her chance of happiness with the only man she has ever loved.,Terence Davies,Edith Wharton,Gillian Anderson|Dan Aykroyd|Eleanor Bron
4025,Miss Congeniality (2000) ,"https://m.media-amazon.com/images/M/MV5BZDhjNzc4N2MtNWE5ZC00N2M4LWFiYjEtMTE5YmYyMTg3OGY5XkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_UX182_CR0,0,182,268_AL_.jpg",1h 49min,Action|Comedy|Crime,22 December 2000 (USA),An F.B.I. Agent must go undercover in the Miss United States beauty pageant to prevent a group from bombing the event.,Donald Petrie,Marc Lawrence|Katie Ford,Sandra Bullock|Michael Caine|Benjamin Bratt
4027,"O Brother, Where Art Thou? (2000) ","https://m.media-amazon.com/images/M/MV5BMjZkOTdmMWItOTkyNy00MDdjLTlhNTQtYzU3MzdhZjA0ZDEyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL_.jpg",1h 47min,Adventure|Comedy|Crime,30 August 2000 (France),"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",Joel Coen|Ethan Coen,Homer|Ethan Coen,George Clooney|John Turturro|Tim Blake Nelson
4029,State and Main (2000) ,"https://m.media-amazon.com/images/M/MV5BOTI1YmE3NDItMWQ3NS00MzRjLWIzMTMtOTRjMjgwMWJiMDU5XkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_UY268_CR14,0,182,268_AL_.jpg",1h 45min,Comedy|Drama,12 January 2001 (USA),A movie crew invades a small town whose residents are all too ready to give up their values for showbiz glitz.,David Mamet,,Philip Seymour Hoffman|William H. Macy|Rebecca Pidgeon
4030,Dracula 2000 (2000) ,"https://m.media-amazon.com/images/M/MV5BYzUxYzFlZjYtYWNiOC00ZmY0LThjMjYtMDdlNmRhNmY5MDRjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",1h 39min,Action|Fantasy|Horror,22 December 2000 (USA),"A group of thieves breaks into a chamber expecting to find paintings, but instead they release the count himself, who travels to New Orleans to find his nemesis' daughter, Mary Van Helsing.",Patrick Lussier,Joel Soisson|Patrick Lussier,Gerard Butler|Justine Waddell|Jonny Lee Miller
4031,All the Pretty Horses (2000) ,"https://m.media-amazon.com/images/M/MV5BZmI1N2Y4NTYtMzM0NS00YmNhLTk4MGUtYzg3NWE4Y2JlNjlkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",1h 56min,Drama|Romance|Western,25 December 2000 (USA),"Two Texas cowboys head to Mexico in search of work, but soon find themselves in trouble with the law after one of them falls in love with a wealthy rancher's daughter.",Billy Bob Thornton,Cormac McCarthy,Matt Damon|Penélope Cruz|Henry Thomas
4032,An Everlasting Piece (2000) ,"https://m.media-amazon.com/images/M/MV5BMTc4MTYwOTk3MV5BMl5BanBnXkFtZTcwMDcwODkxMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg",1h 43min,Comedy,23 March 2001 (Ireland),"Colm (Barry McEvoy) is a Catholic, and George (Brian O'Byrne) is a poetry-loving Protestant. In Belfast, Northern Ireland in the 1980s, they could have been enemies, but instead, they ...
                    ",Barry Levinson,,Barry McEvoy|Brían F. O'Byrne|Anna Friel
4033,Thirteen Days (2000) ,"https://m.media-amazon.com/images/M/MV5BZDM5NzBkZWMtZDY2Ny00OGMxLTgzMDUtZDZkNzRhM2M5MDIxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",2h 25min,Drama|History|Thriller,12 January 2001 (USA),"In October 1962, the Kennedy administration struggles to contain the Cuban Missile Crisis.",Roger Donaldson,David Self|Ernest R. May,Kevin Costner|Bruce Greenwood|Shawn Driscoll
4034,Traffic (2000) ,"https://m.media-amazon.com/images/M/MV5BNDA2YjNkMjEtZjcwNy00ZTc5LWEzNDItMjE0ODlmMDAzNDFkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY268_CR2,0,182,268_AL_.jpg",2h 27min,Crime|Drama|Thriller,5 January 2001 (USA),"A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business.",Steven Soderbergh,Simon Moore,Michael Douglas|Benicio Del Toro|Catherine Zeta-Jones
4035,The Claim (2000) ,"https://m.media-amazon.com/images/M/MV5BYmVjMzVhNWQtZDkyYS00N2YzLTk3M2QtMTY2ZDgxZDRjOTAxXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_UY268_CR2,0,182,268_AL_.jpg",2h,Drama|Romance|Western,2 February 2001 (UK),"A prospector who sold his wife and infant daughter in exchange for a mining claim, tries desperately to win them back as he helps to build the Pacific Railroad with a group of pioneer friends.",Michael Winterbottom,Frank Cottrell Boyce,Wes Bentley|Peter Mullan|Ron Anderson
4036,Shadow of the Vampire (2000) ,"https://m.media-amazon.com/images/M/MV5BMGYxZDEzMDMtMDIzNy00OTQ5LTkzYmItYzdkYTgxMGRkOWVmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",1h 32min,Drama|Horror,26 January 2001 (USA),The filming of Nosferatu (1922) is hampered by the fact that its star Max Schreck is taking the role of a vampire far more seriously than seems humanly possible.,E. Elias Merhige,,John Malkovich|Willem Dafoe|Udo Kier
4037,House of Games (1987) ,"https://m.media-amazon.com/images/M/MV5BZTNkYmIwYjAtMDcyNy00MGYwLWJkYTAtODAyNDJjZTdmNGYxXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UY268_CR2,0,182,268_AL_.jpg",1h 42min,Crime|Thriller,14 October 1987 (USA),"A psychiatrist comes to the aid of a compulsive gambler and is led by a smooth-talking grifter into the shadowy but compelling world of stings, scams, and con men.",David Mamet,David Mamet|Jonathan Katz,Lindsay Crouse|Joe Mantegna|Mike Nussbaum
4039,Annie (1982) ,"https://m.media-amazon.com/images/M/MV5BYzU2YzA3NTYtNDg3OS00YTg3LThiODctZTQ3MzhkZDVjZDNlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg",2h 6min,Comedy|Drama|Family,18 June 1982 (USA),A young orphan girl's adventures in finding a family that will take her.,John Huston,Carol Sobieski|Thomas Meehan,Aileen Quinn|Albert Finney|Carol Burnett
4040,Don't Tell Mom the Babysitter's Dead (1991) ,"https://m.media-amazon.com/images/M/MV5BY2RhNWNlMzctMjQzNi00M2M5LTk5MjYtMWU0MjQ0Nzk0MDQ5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",1h 42min,Comedy,7 June 1991 (USA),Five siblings are left alone all summer when their mom leaves town and the evil babysitter bites the dust.,Stephen Herek,Neil Landau,Christina Applegate|Joanna Cassidy|John Getz
4041,An Officer and a Gentleman (1982) ,"https://m.media-amazon.com/images/M/MV5BNTM5NmY2MTktODRiMS00NTQwLTk2ODEtZTFhYjAyMTZmMTc5XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UX182_CR0,0,182,268_AL_.jpg",2h 4min,Drama|Romance,13 August 1982 (USA),"A young man must complete his work at a Navy Officer Candidate School to become an aviator, with the help of a tough Gunnery Sergeant and his new girlfriend.",Taylor Hackford,,Richard Gere|Debra Winger|David Keith
4042,The Alamo (1960) ,"https://m.media-amazon.com/images/M/MV5BZmQ1MjRmZGQtYTE1ZS00Njg4LWE4OWUtZTY2MTAwNzc3MGJlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2h 42min,Adventure|Drama|History,27 October 1960 (UK),"In 1836, a small band of soldiers sacrifice their lives in hopeless combat against a massive army in order to prevent a tyrant from smashing the new Republic of Texas.",John Wayne,,John Wayne|Richard Widmark|Laurence Harvey
4043,At Close Range (1986) ,"https://m.media-amazon.com/images/M/MV5BMjA2MjUzMjY1M15BMl5BanBnXkFtZTcwMDczMTcyNA@@._V1_UX182_CR0,0,182,268_AL_.jpg",1h 51min,Crime|Drama,18 April 1986 (USA),"In 1978 Pennsylvania, an absentee father is reacquainted with his estranged teenage sons who become intrigued with his romanticized life of crime.",James Foley,Elliott Lewitt|Nicholas Kazan,Sean Penn|Christopher Walken|Mary Stuart Masterson
4046,Friendly Persuasion (1956) ,"https://m.media-amazon.com/images/M/MV5BNDZhYjVhMDYtYTFhMy00YmExLWJhZDAtZjMxNDZkNGQ1MDg0XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg",2h 17min,Drama|Romance|War,25 November 1956 (USA),The pacifist attitude of a Quaker family is tested as a result of the American Civil War.,William Wyler,Jessamyn West,Gary Cooper|Dorothy McGuire|Anthony Perkins
4047,Gettysburg (1993) ,"https://m.media-amazon.com/images/M/MV5BZjgzNzhlYzEtMzYxYS00MTJkLWIzODUtZGQ3MmFiZDdkMTZiXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY268_CR2,0,182,268_AL_.jpg",4h 31min,Drama|History|War,8 October 1993 (USA),"In 1863, the Northern and Southern forces fight at Gettysburg in the decisive battle of the American Civil War.",Ron Maxwell,Michael Shaara,Tom Berenger|Martin Sheen|Stephen Lang
4051,Ein Toter hing im Netz (1960) ,"https://m.media-amazon.com/images/M/MV5BZmJmMWJlMmItYzdmNS00MWM2LThhNzQtNzdkOTUwMmY2YTEzXkEyXkFqcGdeQXVyMTQ2MjQyNDc@._V1_UY268_CR5,0,182,268_AL_.jpg",1h 29min,Horror,16 April 1960 (West Germany),"Survivors of a plane crash on a remote island find it is covered by spiders. When bitten, the survivors start turning into spiders!",Fritz Böttger,Fritz Böttger|Eldon Howard,Harald Maresch|Helga Franck|Alexander D'Arcy
4052,Antitrust (2001) ,"https://m.media-amazon.com/images/M/MV5BM2VjZjdiYzYtOGU1Yy00NWZmLWEyOTUtM2QzMDlkYmRlYmM2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",1h 48min,Action|Crime|Drama,12 January 2001 (USA),A computer programmer's dream job at a hot Portland-based firm turns nightmarish when he discovers his boss has a secret and ruthless means of dispatching anti-trust problems.,Peter Howitt,,Ryan Phillippe|Tim Robbins|Rachael Leigh Cook
4053,Double Take (2001) ,"https://m.media-amazon.com/images/M/MV5BYTkwMTZmNmEtYzc0NS00MWVjLThjOGYtZmFlZDE4MzY3YzRkXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX182_CR0,0,182,268_AL_.jpg",1h 28min,Action|Comedy|Crime,12 January 2001 (USA),"A man on the run takes another man's passport, only to find himself stuck with the identity of a street hustler.",George Gallo,Graham Greene|Guy Elmes,Orlando Jones|Eddie Griffin|Gary Grubbs
4054,Save the Last Dance (2001) ,"https://m.media-amazon.com/images/M/MV5BNjkzMjFkNmQtYTQ2Yy00NTRhLWE0ZGYtNjBmYTcyOTgxNGYxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",1h 52min,Drama|Music|Romance,12 January 2001 (USA),"A white midwestern girl moves to Chicago, where her new boyfriend is a black teen from the South Side with a rough, semi-criminal past.",Thomas Carter,Duane Adler|Duane Adler,Julia Stiles|Sean Patrick Thomas|Kerry Washington
4055,Panic (2000) ,"https://m.media-amazon.com/images/M/MV5BMTIzMjgyMzgxOF5BMl5BanBnXkFtZTcwMDE5NTgyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg",1h 28min,Comedy|Crime|Drama,26 April 2001 (Singapore),"Alex, a hit man, tries to get out of the family business, but his father won't let him do so. While seeking the help of a therapist, he meets a sexually charged 23-year-old woman with whom he falls in love.",Henry Bromell,,William H. Macy|Neve Campbell|John Ritter
4056,The Pledge (2001) ,"https://m.media-amazon.com/images/M/MV5BNTJjNTMyOGUtOTE2Ni00MGZhLWI5OGEtNWQ3MzQ2NGIzYTJiXkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_UY268_CR0,0,182,268_AL_.jpg",2h 4min,Crime|Drama|Mystery,19 January 2001 (USA),A retiring police detective pledges to catch the killer of a young child.,Sean Penn,Friedrich Dürrenmatt|Jerzy Kromolowski,Jack Nicholson|Benicio Del Toro|Patricia Clarkson
4061,The Man in the Moon (1991) ,"https://m.media-amazon.com/images/M/MV5BMTM4MDU0NDY0MF5BMl5BanBnXkFtZTcwMzg1ODE1NA@@._V1_UX182_CR0,0,182,268_AL_.jpg",1h 39min,Drama|Romance,4 October 1991 (USA),A coming of age story set in the south of the U.S. when Elvis was King.,Robert Mulligan,,Sam Waterston|Tess Harper|Gail Strickland
4062,Mystic Pizza (1988) ,"https://m.media-amazon.com/images/M/MV5BMTU1NDk1MTkzMF5BMl5BanBnXkFtZTcwMzY0MDQ1NA@@._V1_UX182_CR0,0,182,268_AL_.jpg",1h 44min,Comedy|Drama|Romance,21 October 1988 (USA),Three teenage girls come of age while working at a pizza parlor in the Connecticut town of Mystic.,Donald Petrie,Amy Holden Jones|Amy Holden Jones,Annabeth Gish|Julia Roberts|Lili Taylor
4063,Prelude to a Kiss (1992) ,"https://m.media-amazon.com/images/M/MV5BN2FmODJiYmUtNGM1MC00MjRhLWI3NjEtMTM4YzgwMjBmMWFjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",1h 45min,Comedy|Fantasy|Romance,10 July 1992 (USA),"A couple fall in love despite the girl's pessimistic outlook. As they struggle to come to terms with their relationship, something supernatural happens that tests it.",Norman René,Craig Lucas,Meg Ryan|Alec Baldwin|Kathy Bates
4064,Coffy (1973) ,"https://m.media-amazon.com/images/M/MV5BMTg5MDI4Njc1OF5BMl5BanBnXkFtZTcwNjY4OTEzNA@@._V1_UX182_CR0,0,182,268_AL_.jpg",1h 30min,Action|Crime|Thriller,May 1973 (USA),A sexy black nurse takes vigilante justice against inner-city drug dealers after her sister becomes their latest victim.,Jack Hill,,Pam Grier|Booker Bradshaw|Robert DoQui
4065,Foxy Brown (1974) ,"https://m.media-amazon.com/images/M/MV5BMjI2NTY1NTE3N15BMl5BanBnXkFtZTcwNTQyMDgzNA@@._V1_UX182_CR0,0,182,268_AL_.jpg",1h 32min,Action|Crime|Thriller,5 April 1974 (USA),A voluptuous black vigilante takes a job as a high-class prostitute in order to get revenge on the mobsters who murdered her boyfriend.,Jack Hill,,Pam Grier|Antonio Fargas|Peter Brown
4066,I'm Gonna Git You Sucka (1988) ,"https://m.media-amazon.com/images/M/MV5BMTk0Mjc1MDY0NF5BMl5BanBnXkFtZTcwNzk3MTI0NA@@._V1_UX182_CR0,0,182,268_AL_.jpg",1h 28min,Action|Comedy|Crime,23 February 1989 (West Germany),"In this parody of blaxploitation movies, a black hero wannabe reunites former black heroes from the 70s to help him get revenge on Mr. Big.",Keenen Ivory Wayans,,Keenen Ivory Wayans|Bernie Casey|Antonio Fargas
4067,Untamed Heart (1993) ,"https://m.media-amazon.com/images/M/MV5BODY5MTQ0ZDctMjI0YS00ZjNmLTg4YzUtZWRlYTlkMGY3MTYxXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UX182_CR0,0,182,268_AL_.jpg",1h 42min,Comedy|Drama|Romance,12 February 1993 (USA),A waitress hardly notices a shy busboy who secretly loves her; until one night she's attacked and he comes to her rescue. From there a relationship sparks but one secret could mean disaster for these fated lovers.,Tony Bill,,Christian Slater|Marisa Tomei|Rosie Perez
4068,Sugar & Spice (2001) ,"https://m.media-amazon.com/images/M/MV5BNGNlM2NlYjUtYmQ4OC00OWRkLWI5ZmItNzA3MmQ4MzE4OTkzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",1h 21min,Comedy|Crime,26 January 2001 (USA),A popular high-school cheerleader becomes pregnant by the star quarterback and turns to crime to support her desired lifestyle.,Francine McDougall,,Marla Sokoloff|Marley Shelton|Melissa George
4069,The Wedding Planner (2001) ,"https://m.media-amazon.com/images/M/MV5BNzBlYTE4NDAtN2RkNi00YWZmLWI3MWQtZDg2YTQ5OTI4YTVhL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",1h 43min,Comedy|Romance,26 January 2001 (USA),Mary Fiore is San Francisco's most successful supplier of romance and glamor. She knows all the tricks. She knows all the rules. But then she breaks the most important rule of all: she falls in love with the groom.,Adam Shankman,Pamela Falk,Jennifer Lopez|Matthew McConaughey|Bridgette Wilson-Sampras
